paper,doi,doi_url
"EDM of Nickle and Titanium Alloy Sheets aided by Vibration",10.1016/j.procir.2020.02.310,https://doi.org/10.1016/j.procir.2020.02.310
"Effect of Aging Parameters on Inconel 718 Fabricated by Laser Directed Energy Deposition",10.1016/j.cjmeam.2023.100101,https://doi.org/10.1016/j.cjmeam.2023.100101
"Effect of active gas on weld appearance and performance in laser-TIG hybrid welded titanium alloy",10.1016/j.ijlmm.2018.03.002,https://doi.org/10.1016/j.ijlmm.2018.03.002
"Effect of alloying elements on laser surface modification of powder metallurgy to improve surface mechanical properties of beta titanium alloys for biomedical application",10.1016/j.jmrt.2021.07.037,https://doi.org/10.1016/j.jmrt.2021.07.037
"Effect of building orientation  heat-treatment on microhardness  surface roughness of additive manufactured IN718 alloy",10.1016/j.matpr.2021.12.180,https://doi.org/10.1016/j.matpr.2021.12.180
"Effect of cold rolling process on microstructure and mechanical properties of high strength β titanium alloy thin sheets",10.1016/j.pnsc.2018.10.004,https://doi.org/10.1016/j.pnsc.2018.10.004
"Effect of common alloying elements on α martensite start temperature in titanium alloys",10.1016/j.jmrt.2023.10.159,https://doi.org/10.1016/j.jmrt.2023.10.159
"Effect of cooling rate on phosphorus segregation behavior and the corresponding precipitation of γ and γ phases in IN718 alloy",10.1016/j.jmst.2019.02.006,https://doi.org/10.1016/j.jmst.2019.02.006
"Effect of cooling rate on solidification microstructure and mechanical properties of TiBceinflocpost2ceinf-containing TiAl alloy",10.1016/S1003-6326(21)65504-8,https://doi.org/10.1016/S1003-6326(21)65504-8
"Effect of heat treatment on microstructure and creep behavior of Ti35Al5Mo6V3Cr2Sn05Fe high-strength ceitalicβceitalic titanium alloy",10.1016/S1003-6326(25)66813-0,https://doi.org/10.1016/S1003-6326(25)66813-0
"Effect of heat treatment on microstructure and mechanical properties of 316LIN718 graded materials prepared by high-throughput SLM",10.1016/j.matdes.2025.115206,https://doi.org/10.1016/j.matdes.2025.115206
"Effect of heat treatment on microstructure evolution of Inconel 718 alloy fabricated by selective laser melting",10.1016/j.jallcom.2018.06.112,https://doi.org/10.1016/j.jallcom.2018.06.112
"Effect of heat treatment on microstructures and properties of vacuum laser welding Ti6Al4V titanium alloy",10.1016/j.jmrt.2024.04.265,https://doi.org/10.1016/j.jmrt.2024.04.265
"Effect of heat treatment on the anisotropic machinability of additive manufactured titanium alloys in micro-milling",10.1016/j.jmrt.2024.08.172,https://doi.org/10.1016/j.jmrt.2024.08.172
"Effect of heat treatment temperatures on the microstructure and mechanical properties of marine engineering titanium alloy ring components",10.1016/j.jmrt.2025.10.090,https://doi.org/10.1016/j.jmrt.2025.10.090
"Effect of laser energy density on the microstructure mechanical properties and deformation of Inconel 718 samples fabricated by selective laser melting",10.1016/j.jallcom.2019.01.377,https://doi.org/10.1016/j.jallcom.2019.01.377
"Effect of laser intensity profile on the microstructure and texture of Inconel 718 superalloy fabricated by direct energy deposition",10.1016/j.jmrt.2022.03.035,https://doi.org/10.1016/j.jmrt.2022.03.035
"Effect of laser power on the microstructure and mechanical properties of heat treated Inconel 718 superalloy by laser solid forming",10.1016/j.jallcom.2018.02.268,https://doi.org/10.1016/j.jallcom.2018.02.268
"Effect of microstructure induced anisotropy on fatigue behaviour of functionally graded Inconel 718 fabricated by additive manufacturing",10.1016/j.matchar.2021.111350,https://doi.org/10.1016/j.matchar.2021.111350
"Effect of post-processes on the microstructure and mechanical properties of laser powder bed fused IN718 superalloy",10.1016/j.addma.2021.102416,https://doi.org/10.1016/j.addma.2021.102416
"Effect of secondary α-phase precipitation on high-strain-rate deformation and shear band evolution in metastable β-titanium alloy",10.1016/j.jmrt.2025.10.158,https://doi.org/10.1016/j.jmrt.2025.10.158
"Effect of solution treatment on microstructure and stress rupture properties of precipitation hardened IN718 superalloy fabricated by laser powder-bed fusion process",10.1016/j.jmrt.2022.10.047,https://doi.org/10.1016/j.jmrt.2022.10.047
"Effects of Ga on the structural mechanical and electronic properties of β-Ti-45Nb alloy by experiments and ceitalicab initioceitalic calculations",10.1016/j.jmbbm.2023.105728,https://doi.org/10.1016/j.jmbbm.2023.105728
"Effects of microstructural heterogeneity and structural defects on the mechanical behaviour of wire  arc additively manufactured Inconel 718 components",10.1016/j.msea.2022.142826,https://doi.org/10.1016/j.msea.2022.142826
"Effects of post-heat treatment on anisotropic mechanical properties of laser additively manufactured IN718",10.1016/j.msea.2023.145144,https://doi.org/10.1016/j.msea.2023.145144
"Effects of powder bed fusion process parameters on hardness for Inconel 718",10.1016/j.matpr.2020.06.388,https://doi.org/10.1016/j.matpr.2020.06.388
"Effects of projectile material on high-speed penetrationperforation of Inconel 718 alloy plates Experiments and simulations",10.1016/j.dt.2025.09.026,https://doi.org/10.1016/j.dt.2025.09.026
"Effects of residual stress and surface roughness on measurement of mechanical properties of IN718 by instrumented indentation testing",10.1016/j.jmrt.2025.10.199,https://doi.org/10.1016/j.jmrt.2025.10.199
"Effects of sandblasting and HIP on very high cycle fatigue performance of SLM-fabricated IN718 superalloy",10.1016/j.jmrt.2022.02.077,https://doi.org/10.1016/j.jmrt.2022.02.077
"Effects of temperature and strain rate on isothermal low-cycle fatigue behaviour of Inconel 718 superalloy Damage mechanisms microstructure evolution and life prediction",10.1016/j.ijfatigue.2025.109005,https://doi.org/10.1016/j.ijfatigue.2025.109005
"Effects of temperature on microstructure and mechanical properties of IN718 reinforced by reduced graphene oxide through spark plasma sintering",10.1016/j.jallcom.2018.07.071,https://doi.org/10.1016/j.jallcom.2018.07.071
"Enhanced mechanical properties in β-Ti alloy aged from recrystallized ultrafine β grains",10.1016/j.matdes.2020.109017,https://doi.org/10.1016/j.matdes.2020.109017
"Enhanced microstructural homogeneity and strength-ductility synergy of Ti-6Cr-5Mo-5V-4Al ceitalicβceitalic-titanium alloy wires through boron addition",10.1016/j.matdes.2023.112288,https://doi.org/10.1016/j.matdes.2023.112288
"Enhanced strength and ductility of laser-directed energy deposition repaired IN718 superalloy via a novel tailored heat treatment",10.1016/j.jmst.2024.03.008,https://doi.org/10.1016/j.jmst.2024.03.008
"Enhanced strength and reduced elastic modulus of biomedical metastable β TiNb alloy via intermediate phase transformation",10.1016/j.matdes.2025.113662,https://doi.org/10.1016/j.matdes.2025.113662
"Enhanced structural and tribological performance of nanostructured Ti15Nb alloy for biomedical applications",10.1016/j.rinp.2019.102767,https://doi.org/10.1016/j.rinp.2019.102767
"Enhancing mechanical properties of wirearc additively manufactured INCONEL 718 superalloy through in-process thermomechanical processing",10.1016/j.matdes.2018.10.038,https://doi.org/10.1016/j.matdes.2018.10.038
"Experimental and numerical analysis of tensile properties of Ti-13Nb-13Zr alloy and determination of influence of anodization process",10.1007/s12540-020-00837-z,https://doi.org/10.1007/s12540-020-00837-z
