source,target,edge_type,weight,n_papers
n00159,n00048,MEASURES_PROPERTY,1,1
n00159,n00049,MEASURES_PROPERTY,1,1
n00159,n00050,MEASURES_PROPERTY,1,1
n00159,n00035,MEASURES_PROPERTY,1,1
n00159,n00080,MEASURES_PROPERTY,1,1
n00159,n00026,STUDIES_ALLOY,1,1
n00159,n00160,STUDIES_ALLOY,1,1
n00159,n00161,STUDIES_ALLOY,1,1
n00090,n00107,PROCESS_LEADS_TO_MICRO,2,0
n00065,n00035,MICRO_AFFECTS_PROPERTY,3,0
n00162,n00002,HAS_ELEMENT,1,1
n00162,n00004,HAS_ELEMENT,1,1
n00162,n00129,HAS_ELEMENT,1,1
n00162,n00005,HAS_ELEMENT,1,1
n00162,n00037,HAS_ELEMENT,1,1
n00162,n00007,HAS_ELEMENT,1,1
n00162,n00008,HAS_ELEMENT,1,1
n00162,n00078,HAS_ELEMENT,1,1
n00162,n00040,HAS_ELEMENT,1,1
n00162,n00009,HAS_ELEMENT,1,1
n00162,n00010,INVOLVES_PROCESS,1,1
n00162,n00058,INVOLVES_PROCESS,1,1
n00162,n00012,INVOLVES_PROCESS,1,1
n00162,n00013,EXHIBITS_MICRO,1,1
n00162,n00014,EXHIBITS_MICRO,1,1
n00162,n00016,EXHIBITS_MICRO,1,1
n00162,n00034,EXHIBITS_MICRO,1,1
n00162,n00017,EXHIBITS_MICRO,1,1
n00162,n00018,EXHIBITS_MICRO,1,1
n00162,n00045,EXHIBITS_MICRO,1,1
n00162,n00019,EXHIBITS_MICRO,1,1
n00162,n00046,MEASURES_PROPERTY,1,1
n00162,n00021,MEASURES_PROPERTY,1,1
n00162,n00022,MEASURES_PROPERTY,1,1
n00162,n00047,MEASURES_PROPERTY,1,1
n00162,n00066,MEASURES_PROPERTY,1,1
n00162,n00023,MEASURES_PROPERTY,1,1
n00162,n00049,MEASURES_PROPERTY,1,1
n00162,n00050,MEASURES_PROPERTY,1,1
n00162,n00025,MEASURES_PROPERTY,1,1
n00162,n00163,STUDIES_ALLOY,1,1
n00162,n00109,STUDIES_ALLOY,1,1
n00162,n00073,STUDIES_ALLOY,1,1
n00162,n00026,STUDIES_ALLOY,1,1
n00162,n00075,STUDIES_ALLOY,1,1
n00164,n00002,HAS_ELEMENT,1,1
n00164,n00123,HAS_ELEMENT,1,1
n00164,n00165,HAS_ELEMENT,1,1
n00164,n00129,HAS_ELEMENT,1,1
n00164,n00005,HAS_ELEMENT,1,1
n00164,n00089,HAS_ELEMENT,1,1
n00164,n00006,HAS_ELEMENT,1,1
n00164,n00007,HAS_ELEMENT,1,1
n00164,n00038,HAS_ELEMENT,1,1
n00164,n00057,HAS_ELEMENT,1,1
n00164,n00031,HAS_ELEMENT,1,1
n00164,n00004,HAS_ELEMENT,1,1
n00164,n00008,HAS_ELEMENT,1,1
n00164,n00078,HAS_ELEMENT,1,1
n00164,n00040,HAS_ELEMENT,1,1
n00164,n00009,HAS_ELEMENT,1,1
n00164,n00042,INVOLVES_PROCESS,1,1
n00164,n00090,INVOLVES_PROCESS,1,1
n00164,n00059,INVOLVES_PROCESS,1,1
n00164,n00060,INVOLVES_PROCESS,1,1
n00164,n00062,INVOLVES_PROCESS,1,1
n00164,n00043,INVOLVES_PROCESS,1,1
n00164,n00032,INVOLVES_PROCESS,1,1
n00164,n00033,EXHIBITS_MICRO,1,1
n00164,n00015,EXHIBITS_MICRO,1,1
n00164,n00034,EXHIBITS_MICRO,1,1
n00164,n00017,EXHIBITS_MICRO,1,1
n00164,n00064,EXHIBITS_MICRO,1,1
n00164,n00018,EXHIBITS_MICRO,1,1
n00164,n00045,EXHIBITS_MICRO,1,1
n00164,n00065,EXHIBITS_MICRO,1,1
n00164,n00046,MEASURES_PROPERTY,1,1
n00164,n00021,MEASURES_PROPERTY,1,1
n00164,n00022,MEASURES_PROPERTY,1,1
n00164,n00072,MEASURES_PROPERTY,1,1
n00164,n00047,MEASURES_PROPERTY,1,1
n00164,n00100,MEASURES_PROPERTY,1,1
n00164,n00023,MEASURES_PROPERTY,1,1
n00164,n00048,MEASURES_PROPERTY,1,1
n00164,n00049,MEASURES_PROPERTY,1,1
n00164,n00050,MEASURES_PROPERTY,1,1
n00164,n00080,MEASURES_PROPERTY,1,1
n00164,n00026,STUDIES_ALLOY,1,1
n00164,n00161,STUDIES_ALLOY,1,1
n00164,n00166,STUDIES_ALLOY,1,1
n00164,n00167,STUDIES_ALLOY,1,1
n00164,n00168,STUDIES_ALLOY,1,1
n00169,n00002,HAS_ELEMENT,1,1
n00169,n00005,HAS_ELEMENT,1,1
n00169,n00007,HAS_ELEMENT,1,1
n00169,n00057,HAS_ELEMENT,1,1
n00169,n00039,HAS_ELEMENT,1,1
n00169,n00004,HAS_ELEMENT,1,1
n00169,n00009,HAS_ELEMENT,1,1
n00169,n00041,INVOLVES_PROCESS,1,1
n00169,n00042,INVOLVES_PROCESS,1,1
n00169,n00010,INVOLVES_PROCESS,1,1
n00169,n00011,INVOLVES_PROCESS,1,1
n00169,n00043,INVOLVES_PROCESS,1,1
n00169,n00032,INVOLVES_PROCESS,1,1
n00169,n00013,EXHIBITS_MICRO,1,1
n00169,n00014,EXHIBITS_MICRO,1,1
n00169,n00085,EXHIBITS_MICRO,1,1
n00169,n00033,EXHIBITS_MICRO,1,1
n00169,n00015,EXHIBITS_MICRO,1,1
n00169,n00016,EXHIBITS_MICRO,1,1
n00169,n00079,EXHIBITS_MICRO,1,1
n00169,n00017,EXHIBITS_MICRO,1,1
n00169,n00018,EXHIBITS_MICRO,1,1
n00169,n00046,MEASURES_PROPERTY,1,1
n00169,n00021,MEASURES_PROPERTY,1,1
n00169,n00022,MEASURES_PROPERTY,1,1
n00169,n00072,MEASURES_PROPERTY,1,1
n00169,n00047,MEASURES_PROPERTY,1,1
n00169,n00066,MEASURES_PROPERTY,1,1
n00169,n00100,MEASURES_PROPERTY,1,1
n00169,n00023,MEASURES_PROPERTY,1,1
n00169,n00048,MEASURES_PROPERTY,1,1
n00169,n00050,MEASURES_PROPERTY,1,1
n00169,n00051,MEASURES_PROPERTY,1,1
n00169,n00024,MEASURES_PROPERTY,1,1
n00169,n00025,MEASURES_PROPERTY,1,1
n00169,n00035,MEASURES_PROPERTY,1,1
n00169,n00080,MEASURES_PROPERTY,1,1
n00169,n00026,STUDIES_ALLOY,1,1
n00169,n00075,STUDIES_ALLOY,1,1
n00085,n00100,MICRO_AFFECTS_PROPERTY,1,0
n00085,n00048,MICRO_AFFECTS_PROPERTY,3,0
n00170,n00002,HAS_ELEMENT,1,1
n00170,n00005,HAS_ELEMENT,1,1
n00170,n00089,HAS_ELEMENT,1,1
n00170,n00006,HAS_ELEMENT,1,1
n00170,n00037,HAS_ELEMENT,1,1
n00170,n00007,HAS_ELEMENT,1,1
n00170,n00038,HAS_ELEMENT,1,1
n00170,n00031,HAS_ELEMENT,1,1
n00170,n00004,HAS_ELEMENT,1,1
n00170,n00008,HAS_ELEMENT,1,1
n00170,n00040,HAS_ELEMENT,1,1
n00170,n00009,HAS_ELEMENT,1,1
n00170,n00041,INVOLVES_PROCESS,1,1
n00170,n00042,INVOLVES_PROCESS,1,1
n00170,n00011,INVOLVES_PROCESS,1,1
n00170,n00043,INVOLVES_PROCESS,1,1
n00170,n00013,EXHIBITS_MICRO,1,1
n00170,n00015,EXHIBITS_MICRO,1,1
n00170,n00016,EXHIBITS_MICRO,1,1
n00170,n00034,EXHIBITS_MICRO,1,1
n00170,n00017,EXHIBITS_MICRO,1,1
n00170,n00018,EXHIBITS_MICRO,1,1
n00170,n00045,EXHIBITS_MICRO,1,1
n00170,n00019,EXHIBITS_MICRO,1,1
n00170,n00065,EXHIBITS_MICRO,1,1
n00170,n00022,MEASURES_PROPERTY,1,1
n00170,n00072,MEASURES_PROPERTY,1,1
n00170,n00047,MEASURES_PROPERTY,1,1
n00170,n00100,MEASURES_PROPERTY,1,1
n00170,n00023,MEASURES_PROPERTY,1,1
n00170,n00048,MEASURES_PROPERTY,1,1
n00170,n00171,STUDIES_ALLOY,1,1
n00170,n00026,STUDIES_ALLOY,1,1
n00170,n00172,STUDIES_ALLOY,1,1
n00173,n00002,HAS_ELEMENT,1,1
n00173,n00003,HAS_ELEMENT,1,1
n00173,n00005,HAS_ELEMENT,1,1
n00173,n00030,HAS_ELEMENT,1,1
n00173,n00004,HAS_ELEMENT,1,1
n00173,n00040,HAS_ELEMENT,1,1
n00173,n00009,HAS_ELEMENT,1,1
n00173,n00041,INVOLVES_PROCESS,1,1
n00173,n00090,INVOLVES_PROCESS,1,1
n00173,n00059,INVOLVES_PROCESS,1,1
n00173,n00043,INVOLVES_PROCESS,1,1
n00173,n00032,INVOLVES_PROCESS,1,1
n00173,n00013,EXHIBITS_MICRO,1,1
n00173,n00033,EXHIBITS_MICRO,1,1
n00173,n00063,EXHIBITS_MICRO,1,1
n00173,n00015,EXHIBITS_MICRO,1,1
n00173,n00034,EXHIBITS_MICRO,1,1
n00173,n00017,EXHIBITS_MICRO,1,1
n00173,n00018,EXHIBITS_MICRO,1,1
n00173,n00045,EXHIBITS_MICRO,1,1
n00173,n00065,EXHIBITS_MICRO,1,1
n00173,n00046,MEASURES_PROPERTY,1,1
n00173,n00021,MEASURES_PROPERTY,1,1
n00173,n00022,MEASURES_PROPERTY,1,1
n00173,n00072,MEASURES_PROPERTY,1,1
n00173,n00047,MEASURES_PROPERTY,1,1
n00173,n00100,MEASURES_PROPERTY,1,1
n00173,n00023,MEASURES_PROPERTY,1,1
n00173,n00048,MEASURES_PROPERTY,1,1
n00173,n00050,MEASURES_PROPERTY,1,1
n00173,n00026,STUDIES_ALLOY,1,1
n00174,n00002,HAS_ELEMENT,1,1
n00174,n00005,HAS_ELEMENT,1,1
n00174,n00007,HAS_ELEMENT,1,1
n00174,n00031,HAS_ELEMENT,1,1
n00174,n00004,HAS_ELEMENT,1,1
n00174,n00040,HAS_ELEMENT,1,1
n00174,n00009,HAS_ELEMENT,1,1
n00174,n00042,INVOLVES_PROCESS,1,1
n00174,n00010,INVOLVES_PROCESS,1,1
n00174,n00070,INVOLVES_PROCESS,1,1
n00174,n00012,INVOLVES_PROCESS,1,1
n00174,n00043,INVOLVES_PROCESS,1,1
n00174,n00013,EXHIBITS_MICRO,1,1
n00174,n00014,EXHIBITS_MICRO,1,1
n00174,n00033,EXHIBITS_MICRO,1,1
n00174,n00063,EXHIBITS_MICRO,1,1
n00174,n00015,EXHIBITS_MICRO,1,1
n00174,n00016,EXHIBITS_MICRO,1,1
n00174,n00017,EXHIBITS_MICRO,1,1
n00174,n00018,EXHIBITS_MICRO,1,1
n00174,n00045,EXHIBITS_MICRO,1,1
n00174,n00019,EXHIBITS_MICRO,1,1
n00174,n00021,MEASURES_PROPERTY,1,1
n00174,n00022,MEASURES_PROPERTY,1,1
n00174,n00047,MEASURES_PROPERTY,1,1
n00174,n00023,MEASURES_PROPERTY,1,1
n00174,n00048,MEASURES_PROPERTY,1,1
n00174,n00049,MEASURES_PROPERTY,1,1
n00174,n00124,MEASURES_PROPERTY,1,1
n00174,n00024,MEASURES_PROPERTY,1,1
n00174,n00025,MEASURES_PROPERTY,1,1
n00174,n00175,STUDIES_ALLOY,1,1
n00174,n00176,STUDIES_ALLOY,1,1
